"","ID","Gene","GB_ACC","GeneDes"
"201406_at","201406_at","RPL36A /// RPL36A-HNRNPH2","NM_021029","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"201427_s_at","201427_s_at","SEPP1","NM_005410","0008430 // selenium binding // inferred from electronic annotation"
"201429_s_at","201429_s_at","RPL37A","NM_000998","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"201443_s_at","201443_s_at","ATP6AP2","AF248966","0003824 // catalytic activity // inferred from electronic annotation /// 0004190 // aspartic-type endopeptidase activity // not recorded /// 0004872 // receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019899 // enzyme binding // inferred from electronic annotation"
"201479_at","201479_at","DKC1 /// MIR664B /// SNORA56","NM_001363","0003720 // telomerase activity // inferred from direct assay /// 0003723 // RNA binding // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0009982 // pseudouridine synthase activity // inferred from electronic annotation /// 0016853 // isomerase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"201492_s_at","201492_s_at","RPL41","NM_021104","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement"
"201519_at","201519_at","TOMM70A","NM_014820","0005515 // protein binding // inferred from physical interaction /// 0008320 // protein transmembrane transporter activity // traceable author statement"
"201546_at","201546_at","TRIP12","NM_004238","0004842 // ubiquitin-protein transferase activity // not recorded /// 0004842 // ubiquitin-protein transferase activity // inferred from direct assay /// 0004842 // ubiquitin-protein transferase activity // inferred from mutant phenotype /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0046966 // thyroid hormone receptor binding // inferred from direct assay"
"201550_x_at","201550_x_at","ACTB /// ACTG1","NM_001614","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005200 // structural constituent of cytoskeleton // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0019894 // kinesin binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030957 // Tat protein binding // inferred from physical interaction /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction /// 0050998 // nitric-oxide synthase binding // inferred from physical interaction"
"201595_s_at","201595_s_at","ZC3H15","NM_018471","0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"201608_s_at","201608_s_at","PWP1","NM_007062","0005515 // protein binding // inferred from electronic annotation"
"201628_s_at","201628_s_at","RRAGA","NM_006570","0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from direct assay /// 0046982 // protein heterodimerization activity // inferred from physical interaction /// 0051219 // phosphoprotein binding // inferred from direct assay"
"201652_at","201652_at","COPS5","NM_006837","0003713 // transcription coactivator activity // traceable author statement /// 0003743 // translation initiation factor activity // traceable author statement /// 0004843 // ubiquitin-specific protease activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from mutant phenotype /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"201687_s_at","201687_s_at","API5","NM_006595","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0017134 // fibroblast growth factor binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"201698_s_at","201698_s_at","GATC /// SRSF9","NM_003769","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0016884 // carbon-nitrogen ligase activity, with glutamine as amido-N-donor // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0050567 // glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity // inferred from direct assay"
"201738_at","201738_at","EIF1B","NM_005875","0003743 // translation initiation factor activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"201754_at","201754_at","COX6C","NM_004374","0004129 // cytochrome-c oxidase activity // inferred from electronic annotation"
"201812_s_at","201812_s_at","C4orf46 /// TOMM7","NM_019059","0005515 // protein binding // inferred from physical interaction /// 0008320 // protein transmembrane transporter activity // traceable author statement"
"201857_at","201857_at","ZFR","NM_016107","0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"201880_at","201880_at","ARIH1","AL040708","0004842 // ubiquitin-protein transferase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from direct assay /// 0016874 // ligase activity // inferred from electronic annotation /// 0019787 // small conjugating protein ligase activity // traceable author statement /// 0031625 // ubiquitin protein ligase binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation"
"201889_at","201889_at","FAM3C","NM_014888","0005125 // cytokine activity // non-traceable author statement"
"201891_s_at","201891_s_at","B2M","NM_004048","0005515 // protein binding // inferred from physical interaction /// 0042802 // identical protein binding // inferred from physical interaction"
"201921_at","201921_at","GNG10","NM_004125","0003924 // GTPase activity // traceable author statement /// 0004871 // signal transducer activity // inferred from electronic annotation"
"201949_x_at","201949_x_at","CAPZB","AL572341","0003779 // actin binding // traceable author statement /// 0005515 // protein binding // inferred from electronic annotation /// 0048487 // beta-tubulin binding // inferred from electronic annotation /// 0051015 // actin filament binding // inferred from electronic annotation"
"201989_s_at","201989_s_at","CREBL2","AL529409","0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation"
"201993_x_at","201993_x_at","HNRNPDL","NM_005463","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003690 // double-stranded DNA binding // inferred from direct assay /// 0003697 // single-stranded DNA binding // inferred from direct assay /// 0003723 // RNA binding // inferred from electronic annotation /// 0008143 // poly(A) binding // inferred from direct assay /// 0034046 // poly(G) binding // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"201994_at","201994_at","MORF4L2","NM_012286","0005515 // protein binding // inferred from physical interaction"
"202029_x_at","202029_x_at","RPL38","NM_000999","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement"
"202110_at","202110_at","COX7B","NM_001866","0004129 // cytochrome-c oxidase activity // inferred from electronic annotation"
"202141_s_at","202141_s_at","COPS8","BC003090","0005515 // protein binding // inferred from electronic annotation"
"202187_s_at","202187_s_at","PPP2R5A","NM_006243","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008601 // protein phosphatase type 2A regulator activity // inferred from electronic annotation /// 0019900 // kinase binding // inferred from physical interaction"
"202231_at","202231_at","EIF3M","NM_006360","0003743 // translation initiation factor activity // inferred by curator /// 0005515 // protein binding // inferred from physical interaction"
"202244_at","202244_at","PSMB4","NM_002796","0001530 // lipopolysaccharide binding // inferred from electronic annotation /// 0004175 // endopeptidase activity // inferred from electronic annotation /// 0004298 // threonine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation"
"202419_at","202419_at","KDSR","NM_002035","0016491 // oxidoreductase activity // inferred from electronic annotation /// 0047560 // 3-dehydrosphinganine reductase activity // inferred from direct assay"
"202427_s_at","202427_s_at","MPC2","NM_015415","0050833 // pyruvate transmembrane transporter activity // inferred from electronic annotation"
"202428_x_at","202428_x_at","DBI","NM_020548","0000062 // fatty-acyl-CoA binding // inferred from electronic annotation /// 0008289 // lipid binding // inferred from electronic annotation /// 0030156 // benzodiazepine receptor binding // traceable author statement /// 0036042 // long-chain fatty acyl-CoA binding // inferred from direct assay /// 0046983 // protein dimerization activity // inferred from direct assay"
"202462_s_at","202462_s_at","DDX46","NM_014829","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0004386 // helicase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008026 // ATP-dependent helicase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"202567_at","202567_at","SNRPD3","NM_004175","0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019899 // enzyme binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0071208 // histone pre-mRNA DCP binding // inferred from sequence or structural similarity"
"202653_s_at","202653_s_at","MARCH7","BC003404","0008270 // zinc ion binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030246 // carbohydrate binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"202677_at","202677_at","RASA1","NM_002890","0001948 // glycoprotein binding // inferred from physical interaction /// 0005096 // GTPase activator activity // inferred from electronic annotation /// 0005099 // Ras GTPase activator activity // not recorded /// 0005102 // receptor binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0005543 // phospholipid binding // inferred from electronic annotation /// 0019870 // potassium channel inhibitor activity // non-traceable author statement /// 0051020 // GTPase binding // inferred from physical interaction"
"202798_at","202798_at","SEC24B","NM_006323","0005215 // transporter activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation"
"202832_at","202832_at","GCC2","NM_014635","0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0042802 // identical protein binding // inferred from physical interaction"
"202911_at","202911_at","MSH6","NM_000179","0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from direct assay /// 0000400 // four-way junction DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from electronic annotation /// 0003684 // damaged DNA binding // inferred from electronic annotation /// 0003690 // double-stranded DNA binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from direct assay /// 0008094 // DNA-dependent ATPase activity // not recorded /// 0016887 // ATPase activity // inferred from direct assay /// 0030983 // mismatched DNA binding // inferred from direct assay /// 0032137 // guanine/thymine mispair binding // inferred from direct assay /// 0032142 // single guanine insertion binding // inferred from direct assay /// 0032143 // single thymine insertion binding // inferred from direct assay /// 0032357 // oxidized purine DNA binding // inferred from direct assay /// 0032405 // MutLalpha complex binding // inferred from direct assay /// 0035064 // methylated histone binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from physical interaction /// 0043531 // ADP binding // inferred from direct assay"
"202916_s_at","202916_s_at","FAM20B","NM_014864","0000166 // nucleotide binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016773 // phosphotransferase activity, alcohol group as acceptor // inferred from direct assay"
"202933_s_at","202933_s_at","YES1","NM_005433","0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // not recorded /// 0004713 // protein tyrosine kinase activity // traceable author statement /// 0004715 // non-membrane spanning protein tyrosine kinase activity // traceable author statement /// 0005154 // epidermal growth factor receptor binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0044325 // ion channel binding // inferred from physical interaction"
"203012_x_at","203012_x_at","RPL23A","NM_000984","0000166 // nucleotide binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0019843 // rRNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"203034_s_at","203034_s_at","RPL27A /// SNORA45A","NM_000990","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0004659 // prenyltransferase activity // inferred from direct assay /// 0004659 // prenyltransferase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016209 // antioxidant activity // inferred from mutant phenotype /// 0016740 // transferase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"203037_s_at","203037_s_at","MTSS1","NM_014751","0003779 // actin binding // inferred from electronic annotation /// 0003785 // actin monomer binding // inferred from direct assay /// 0005102 // receptor binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0008093 // cytoskeletal adaptor activity // inferred from electronic annotation /// 0017124 // SH3 domain binding // inferred from electronic annotation /// 0042802 // identical protein binding // inferred from physical interaction"
"203049_s_at","203049_s_at","TTC37","NM_014639","0005515 // protein binding // inferred from physical interaction"
"203098_at","203098_at","CDYL","AL050164","0003714 // transcription corepressor activity // inferred from mutant phenotype /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004402 // histone acetyltransferase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016740 // transferase activity // inferred from electronic annotation /// 0016746 // transferase activity, transferring acyl groups // inferred from electronic annotation /// 0035064 // methylated histone binding // inferred from direct assay"
"203138_at","203138_at","HAT1","NM_003642","0004402 // histone acetyltransferase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016740 // transferase activity // inferred from electronic annotation /// 0016746 // transferase activity, transferring acyl groups // inferred from electronic annotation"
"203205_at","203205_at","KDM4A","NM_014663","0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0031625 // ubiquitin protein ligase binding // inferred from physical interaction /// 0035064 // methylated histone binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051213 // dioxygenase activity // inferred from electronic annotation /// 0051864 // histone demethylase activity (H3-K36 specific) // inferred from direct assay"
"203371_s_at","203371_s_at","NDUFB3","NM_002491","0008137 // NADH dehydrogenase (ubiquinone) activity // non-traceable author statement"
"203376_at","203376_at","CDC40","BG528818","0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"203406_at","203406_at","MFAP1","NM_005926","0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"203449_s_at","203449_s_at","TERF1","NM_017489","0003677 // DNA binding // non-traceable author statement /// 0003682 // chromatin binding // inferred from electronic annotation /// 0003691 // double-stranded telomeric DNA binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008017 // microtubule binding // inferred from direct assay /// 0008301 // DNA binding, bending // inferred from direct assay /// 0008656 // cysteine-type endopeptidase activator activity involved in apoptotic process // inferred from direct assay /// 0010521 // telomerase inhibitor activity // inferred from genetic interaction /// 0042162 // telomeric DNA binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from physical interaction /// 0046982 // protein heterodimerization activity // inferred from direct assay"
"203450_at","203450_at","CBY1","NM_015373","0005515 // protein binding // inferred from physical interaction /// 0008013 // beta-catenin binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction"
"203455_s_at","203455_s_at","SAT1","NM_002970","0004145 // diamine N-acetyltransferase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008080 // N-acetyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016746 // transferase activity, transferring acyl groups // inferred from electronic annotation /// 0019809 // spermidine binding // inferred from electronic annotation"
"203487_s_at","203487_s_at","ARMC8","NM_015396","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation"
"203531_at","203531_at","CUL5","BF435809","0004872 // receptor activity // traceable author statement /// 0005262 // calcium channel activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0031625 // ubiquitin protein ligase binding // inferred from direct assay"
"203597_s_at","203597_s_at","WBP4","AI734228","0003676 // nucleic acid binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0070064 // proline-rich region binding // inferred from physical interaction"
"203621_at","203621_at","NDUFB5","NM_002492","0008137 // NADH dehydrogenase (ubiquinone) activity // non-traceable author statement"
"203778_at","203778_at","MANBA","NM_005908","0004553 // hydrolase activity, hydrolyzing O-glycosyl compounds // inferred from electronic annotation /// 0004567 // beta-mannosidase activity // inferred from electronic annotation /// 0005537 // mannose binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation"
"203947_at","203947_at","CSTF3","NM_001326","0003723 // RNA binding // traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"204119_s_at","204119_s_at","ADK","U90339","0000166 // nucleotide binding // inferred from electronic annotation /// 0004001 // adenosine kinase activity // not recorded /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016773 // phosphotransferase activity, alcohol group as acceptor // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"204145_at","204145_at","FRG1 /// LOC100289097 /// LOC101930278 /// LOC101930531","NM_004477","0005515 // protein binding // inferred from physical interaction /// 0030674 // protein binding, bridging // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0051015 // actin filament binding // inferred from electronic annotation"
"204297_at","204297_at","PIK3C3","NM_002647","0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016303 // 1-phosphatidylinositol-3-kinase activity // inferred from mutant phenotype /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0016773 // phosphotransferase activity, alcohol group as acceptor // inferred from electronic annotation /// 0035004 // phosphatidylinositol 3-kinase activity // inferred from electronic annotation"
"204759_at","204759_at","RCBTB2","NM_001268","0005087 // Ran guanyl-nucleotide exchange factor activity // traceable author statement /// 0005515 // protein binding // inferred from electronic annotation"
"204892_x_at","204892_x_at","EEF1A1","NM_001402","0000166 // nucleotide binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // traceable author statement /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // traceable author statement /// 0019901 // protein kinase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"205173_x_at","205173_x_at","CD58","NM_001779","0005102 // receptor binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction"
"205849_s_at","205849_s_at","UQCRB","NM_006294",""
"206095_s_at","206095_s_at","SRSF10","NM_006625","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0050733 // RS domain binding // non-traceable author statement /// 0051082 // unfolded protein binding // non-traceable author statement"
"206559_x_at","206559_x_at","","NM_001403","0000166 // nucleotide binding // inferred from electronic annotation /// 0003746 // translation elongation factor activity // inferred from electronic annotation /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation"
"206662_at","206662_at","GLRX","NM_002064","0009055 // electron carrier activity // inferred from electronic annotation /// 0015035 // protein disulfide oxidoreductase activity // inferred from electronic annotation /// 0015038 // glutathione disulfide oxidoreductase activity // traceable author statement /// 0047485 // protein N-terminus binding // inferred from physical interaction"
"206953_s_at","206953_s_at","LOC101927458 /// LPHN2","NM_012302","0004871 // signal transducer activity // inferred from electronic annotation /// 0004888 // transmembrane signaling receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0016524 // latrotoxin receptor activity // non-traceable author statement /// 0030246 // carbohydrate binding // inferred from electronic annotation"
"207243_s_at","207243_s_at","CALM1 /// CALM2 /// CALM3","NM_001743","0005509 // calcium ion binding // inferred from direct assay /// 0005509 // calcium ion binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0008179 // adenylate cyclase binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0019904 // protein domain specific binding // inferred from physical interaction /// 0030234 // enzyme regulator activity // inferred from electronic annotation /// 0030235 // nitric-oxide synthase regulator activity // inferred from electronic annotation /// 0031432 // titin binding // inferred from physical interaction /// 0031800 // type 3 metabotropic glutamate receptor binding // inferred from electronic annotation /// 0031996 // thioesterase binding // inferred from physical interaction /// 0031997 // N-terminal myristoylation domain binding // inferred from physical interaction /// 0043274 // phospholipase binding // inferred from physical interaction /// 0043548 // phosphatidylinositol 3-kinase binding // inferred from electronic annotation /// 0044325 // ion channel binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation /// 0047485 // protein N-terminus binding // inferred from electronic annotation /// 0048306 // calcium-dependent protein binding // inferred from electronic annotation /// 0050998 // nitric-oxide synthase binding // inferred from electronic annotation /// 0072542 // protein phosphatase activator activity // inferred from direct assay"
"207416_s_at","207416_s_at","NFATC3","NM_004555","0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0001077 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription // inferred from direct assay /// 0001077 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription // inferred from mutant phenotype /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"207467_x_at","207467_x_at","CAST","NM_001750","0004866 // endopeptidase inhibitor activity // traceable author statement /// 0004869 // cysteine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0010859 // calcium-dependent cysteine-type endopeptidase inhibitor activity // non-traceable author statement /// 0030414 // peptidase inhibitor activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"207483_s_at","207483_s_at","CAND1","NM_018448","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0017025 // TBP-class protein binding // inferred from electronic annotation"
"207507_s_at","207507_s_at","ATP5G3","NM_001689","0005215 // transporter activity // non-traceable author statement /// 0008289 // lipid binding // inferred from electronic annotation /// 0015078 // hydrogen ion transmembrane transporter activity // inferred from electronic annotation"
"207783_x_at","207783_x_at","HUWE1","NM_017627","0003677 // DNA binding // inferred from sequence or structural similarity /// 0004842 // ubiquitin-protein transferase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016874 // ligase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"208374_s_at","208374_s_at","CAPZA1","NM_006135","0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"208405_s_at","208405_s_at","CD164","NM_006016","0005515 // protein binding // inferred from physical interaction"
"208635_x_at","208635_x_at","NACA","BF976260","0003677 // DNA binding // inferred from electronic annotation /// 0003713 // transcription coactivator activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0017025 // TBP-class protein binding // inferred from sequence or structural similarity"
"208640_at","208640_at","RAC1","BG292367","0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from direct assay /// 0017137 // Rab GTPase binding // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0030742 // GTP-dependent protein binding // inferred from electronic annotation /// 0031996 // thioesterase binding // inferred from physical interaction /// 0051022 // Rho GDP-dissociation inhibitor binding // inferred from sequence or structural similarity"
"208655_at","208655_at","CCNI","BG530368",""
"208668_x_at","208668_x_at","HMGN2","BC003689","0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // non-traceable author statement /// 0031492 // nucleosomal DNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"208672_s_at","208672_s_at","SRSF3","BC000914","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0043274 // phospholipase binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"208695_s_at","208695_s_at","RPL39","BC001019","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0003735 // structural constituent of ribosome // traceable author statement"
"208738_x_at","208738_x_at","LOC101929087 /// SUMO2 /// SUMO3","AK024823","0005515 // protein binding // inferred from physical interaction /// 0019789 // SUMO ligase activity // inferred from electronic annotation /// 0031625 // ubiquitin protein ligase binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"208746_x_at","208746_x_at","ATP5L","AF070655","0015078 // hydrogen ion transmembrane transporter activity // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from direct assay /// 0022857 // transmembrane transporter activity // inferred by curator"
"208768_x_at","208768_x_at","RPL22","D17652","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008201 // heparin binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
